NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
528,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202505,14,"21,300",108,8,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,25.05.19
529,제주특별자치도 제주시 오라이동,1492,1492,0,미듬아뜨리에,59.6725,202505,14,"23,800",-,3,개인,개인,2014,연사길 83-20,-,중개거래,제주 제주시,25.07.09
530,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,14,"30,000",-,2,개인,개인,2001,과원로 11,20250515,중개거래,제주 제주시,-
531,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,14,"30,000",-,2,개인,개인,2001,과원로 11,20250516,중개거래,제주 제주시,-
532,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,14,"31,500",206,3,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.07.08
533,제주특별자치도 서귀포시 서호동,1540,1540,0,제주서귀포혁신도시엘에이치1단지,59.98,202505,14,"30,900",102,7,개인,공공기관,2013,서호남로 92-15,-,직거래,-,25.05.14
534,제주특별자치도 제주시 오라이동,1400-7,1400,7,벽강하이본타워(5차),67.3826,202505,14,"29,000",102동,5,개인,개인,2018,사평6길 37-15,-,중개거래,제주 제주시,25.07.10
535,제주특별자치도 제주시 도남동,923-13,923,13,성환,69.43,202505,13,"15,800",-,3,개인,개인,1991,신성로 91,-,중개거래,제주 제주시,25.06.23
536,제주특별자치도 제주시 용담삼동,541-4,541,4,용담이타스,84.64,202505,13,"28,800",-,7,개인,개인,2012,용담로1길 18,-,직거래,-,25.06.26
537,제주특별자치도 제주시 일도이동,360-11,360,11,일도위더스빌23차,84.84,202505,13,"43,000",-,3,개인,개인,2014,동광로15길 2,-,중개거래,제주 제주시,25.06.10
538,제주특별자치도 제주시 이도이동,1780-1,1780,1,석정시티빌,20.34,202505,13,"5,400",-,3,개인,개인,2011,서광로30길 8,-,직거래,-,25.05.13
539,제주특별자치도 서귀포시 서호동,1540,1540,0,제주서귀포혁신도시엘에이치1단지,59.98,202505,13,"32,550",103,11,개인,공공기관,2013,서호남로 92-15,-,직거래,-,25.05.14
540,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,39.84,202505,13,"17,300",104,3,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,25.06.17
541,제주특별자치도 제주시 삼도일동,552-3,552,3,대명2차꿈의고향,84.97,202505,13,"29,500",-,11,개인,개인,2004,서광로19길 4,-,중개거래,제주 제주시,25.07.09
542,제주특별자치도 제주시 연동,265,265,0,e편한세상연동센트럴메종,75.4043,202505,12,"68,000",101동,6,개인,개인,2025,연동4길 25,-,중개거래,제주 제주시,25.08.06
543,제주특별자치도 제주시 용담이동,609-2,609,2,영보맨션,54.66,202505,12,"13,000",가,1,개인,개인,1992,용화로5길 7,-,중개거래,제주 제주시,25.05.12
544,제주특별자치도 제주시 일도이동,360-11,360,11,일도위더스빌23차,84.2,202505,12,"42,000",-,2,개인,개인,2014,동광로15길 2,-,중개거래,제주 제주시,-
545,제주특별자치도 제주시 삼도일동,572-15,572,15,금광아이빌,30.4213,202505,12,"9,000",-,4,개인,개인,2012,서광로18길 5-19,-,중개거래,제주 제주시,25.07.10
546,제주특별자치도 제주시 연동,290-4,290,4,이레빌,22.75,202505,12,"5,800",-,5,개인,개인,2012,신광로1길 6,-,중개거래,제주 제주시,25.05.21
547,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.97,202505,12,"41,000",-,2,개인,개인,2010,하귀9길 45,-,중개거래,제주 제주시,-
548,제주특별자치도 제주시 삼도일동,305-74,305,74,아산플라자,84.26,202505,11,"35,600",-,9,개인,개인,2012,홍랑길 44-9,-,중개거래,제주 제주시,-
549,제주특별자치도 제주시 도련일동,1909,1909,0,제주삼화사랑으로부영7차,84.9933,202505,10,"60,300",708동,6,개인,개인,2015,화삼북로 90,-,중개거래,제주 제주시,25.06.05
550,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,10,"33,000",-,7,개인,개인,2001,과원로 11,20250528,중개거래,제주 제주시,-
551,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,10,"33,000",205,7,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.07.16
552,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,10,"33,000",-,7,개인,개인,2001,과원로 11,20250513,중개거래,제주 제주시,-
553,제주특별자치도 제주시 일도이동,113-6,113,6,일도우성2,86.15,202505,10,"40,300",202,3,개인,개인,1995,남광로 223,-,중개거래,제주 제주시,25.05.23
554,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,84.9767,202505,10,"70,500",102,12,개인,개인,2012,아란9길 22,-,중개거래,제주 제주시,25.05.23
555,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.84,202505,9,"48,000",-,7,개인,개인,2010,하귀9길 45,-,중개거래,제주 제주시,-
556,제주특별자치도 제주시 외도일동,537-3,537,3,더그라벨,84.5244,202505,9,"32,000",-,3,개인,개인,2016,우령서로 69,-,중개거래,제주 제주시,25.06.27
557,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202505,9,"41,500",부영아파트 202,10,개인,개인,2001,우평로 318,-,중개거래,제주 제주시,25.07.08
558,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.89,202505,9,"31,500",104동,1,개인,개인,2016,중문상로82번길 15,-,중개거래,제주 서귀포시,25.07.11
559,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,97.8898,202505,9,"52,000",206동,1,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,25.06.27
560,제주특별자치도 제주시 연동,292-8,292,8,연동엘리시아3차,79.83,202505,9,"37,500",-,11,개인,개인,2013,은남1길 18,-,직거래,-,25.05.09
561,제주특별자치도 제주시 삼도일동,539-4,539,4,아델리안,76.51,202505,9,"32,400",-,8,개인,개인,2017,서광로19길 45,-,중개거래,제주 제주시,25.08.08
562,제주특별자치도 제주시 연동,257,257,0,디지털한빛,84.719,202505,8,"47,400",-,9,개인,개인,2005,연동4길 32,20250516,직거래,-,-
